name,short_description,description,main_photo_filepath,gallery_photo_filepaths,variants,url
Fastarc P-1,<p>Der neue <strong><em>Fastarc P-1</em></strong> ist die nächste Antwort von Nittaku auf den Kunststoffball.</p>,"<div class=""rte text--pull""> <p>Der neue <strong><em>Fastarc P-1</em></strong> ist die nächste Antwort von Nittaku auf den Kunststoffball.</p> <p>Die Kombination von den neuen katapultigen <strong>Strong Sponge</strong> Schwämmen mit einer griffigen, etwas weicheren Oberfläche bildet eine Einheit, die extrem viel Power speichert und in Topspins mit unschlagbarer Rotation und Geschwindigkeit umwandelt.</p> <p>Da die Noppen der Oberfläche etwas weiter auseinander stehen, kann der Ball sich etwas tiefer in die Oberfläche eingraben. Dadurch spürt man den Balltreffpunkt sehr genau. Der Strong Sponge mit 47° Härte hat einen guten Katapult und wird kaum komprimiert. Dadurch erreicht dieser Belag eine gute Genauigkeit. </p> <p>Dieser Belag ist für gnadenloses Offensivspiel nah am Tisch und aus der Halbdistanz konzipiert worden.</p> <p><span style=""color: #666666;""><strong>Made in Germany</strong></span></p> <p><strong>Spin: 15.5 </strong></p> <p><strong>Speed: 12.25</strong></p> <p><strong>Härte: ca 47.°</strong></p> <p> </p> <p><iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/_Yh7ZN4GgQU"" width=""560""></iframe></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Fastarc P-1\MainImage\fastarc_p-1_nittaku_tischtennisbelag_deutschland_1600x.png%3Fv=1437421820,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Fastarc P-1\GalleryImages\fastarc_p-1_schwamm_poren_nittaku_1600x.png%3Fv=1437425009,"{""key_value_pairs"": [[""Farbe // Color"", ""rot // red""], [""Farbe // Color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""2.0 mm // superthick""], [""Stärke // Thickness"", ""1.8 mm // thick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-der-fastarc-serie/products/fastarc-p1
Nittaku Fastarc S-1,<p>Der <strong>Nittaku Fastarc S1</strong> ist der weichste und zusammen mit dem Fastarc P1 der <strong>schnellste</strong> Belag der Serie.</p>,"<div class=""rte text--pull""> <p>Der <strong>Nittaku Fastarc S1</strong> ist der weichste und zusammen mit dem Fastarc P1 der <strong>schnellste</strong> Belag der Serie.</p> <p>Der etwas weichere Schwamm mit 44° und das griffige Obergummi mit weiter auseinander stehenden Noppen hat einen <strong>starken Katapult</strong>. Die weichere Kombination aus der Oberfläche und dem Schwamm ergeben eine flache Flugkurve. Die <strong>Eigendynamik</strong> des Belages ist hoch. Da der Belag stark komprimiert werden kann, ist dieser Belag bei schnellen Ballwechseln etwas schwerer zu kontrollieren. Allerdings ist das Gefühl und die Kontrolle bei weich gezogenen <strong>Topspin</strong> sehr gut. </p> <p><span><strong>Made in Germany</strong></span></p> <p><strong>Spin: 11.75</strong></p> <p><strong>Speed: 15.50</strong></p> <p><strong>Härte: ca 44°</strong></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc S-1\MainImage\nittaku_fastarc_s-1_1600x.png%3Fv=1450285855,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc S-1\GalleryImages\nittaku_fastarc_vergleich_1600x.jpg%3Fv=1450286471,"{""key_value_pairs"": [[""Farbe // Color"", ""rot // red""], [""Farbe // Color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""1.8mm // thick""], [""Stärke // Thickness"", ""2.0mm // superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-der-fastarc-serie/products/fastarc-s-1
Alhelg,<p>Unser neuer Belag <em>ALHELG</em> wurde extra für den Plastikball entwickelt.</p>,"<div class=""rte text--pull""> <p>Unser neuer Belag <em>ALHELG</em> wurde extra für den Plastikball entwickelt.</p> <p><em>ALHELG</em> hat große Noppen und eine dicke Oberfläche aus ultra-hochwertigem, natürlichem Gummi, welchse dem Belag eine sehr gute Griffigkeit verleiht und damit die Spinentwicklung besonders beim neuen Plastikball fördert. Der neuentwickelte ""PLA Turbo Sponge"" zeichnet sich durch besonders große Luftporen aus, verleiht ein sicheres Spielgefühl und unterstützt das ""bissige"" Obergummi perfekt.</p> <p>Spin und Speed werden Sie überzeugen.</p> <p>Wir empfehlen diesen Belag besonders zum Topspin und Gegentopspin-Spiel, aber auch für verschiedene Techniken beim Kurz-Kurz-Spiel.</p> <p>Inklusive Belag-Schutzfolie.</p> <p><span style=""color: #666666;""><strong>Made in Japan</strong></span></p> <p><span style=""color: #666666;""><strong>Speed: 15.50</strong></span></p> <p><span style=""color: #666666;""><strong>Spin: 13.00</strong></span></p> <p><iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/HEU464LLwYQ"" width=""560""></iframe></p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Alhelg\MainImage\nittaku_tischtennisbelag_rubber_alhelg_1600x.png%3Fv=1430160508,,"{""key_value_pairs"": [[""Farbe // color"", ""rot // red""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // thickness"", ""1.8 mm // thick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/alhelg
Best Anti,<p>Der <em><strong>NITTAKU BEST ANTI</strong> </em>ist schon seit langer Zeit ein sehr beliebter Antibelag.</p>,"<div class=""rte text--pull""> <p>Der <em><strong>NITTAKU BEST ANTI</strong> </em>ist schon seit langer Zeit ein sehr beliebter Antibelag.</p> <p>Durch sein glattes Obergummi ist der <strong><em>BEST ANTI</em></strong> komplett unempfindlich gegen den Spin des gegnerischen Balls. Er eignet sich ebenso gut zum aggressiven Angreifen - durch die leicht griffige Oberfläche lässt sich der Spin des gegnerischen Balls problemlos umkehren.</p> <p> </p> <p><strong><span style=""color: #666666;"">MADE IN JAPAN</span></strong></p> <p><strong><span style=""color: #666666;"">Kontrolle: 10,5</span></strong></p> <p><strong><span style=""color: #666666;"">Speed: 4,0</span></strong></p> <p><strong><span style=""color: #666666;"">Spin: 3,0</span></strong></p> <p> </p> <p> </p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Best Anti\MainImage\nittaku_best_anti_1600x.png%3Fv=1371919097,,"{""key_value_pairs"": [[""Farbe // color"", ""rot // red""], [""Farbe // color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // thickness"", ""1.2 mm // thin""], [""Stärke // thickness"", ""1.8 mm // thick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/best-anti
Express / mittellange offensive Noppe,<p>Der<em><strong> EXPRESS</strong></em> ist ein offensiver Noppen aussen Belag.</p>,"<div class=""rte text--pull""> <p>Der<em><strong> EXPRESS</strong></em> ist ein offensiver Noppen aussen Belag.</p> <p>Aufgrund seiner klebrigen Oberfläche sind hohe Rotationsgeschwindigkeiten bei guten Kontrollwerten möglich. Durch seinen mittelharten Schwamm sind hohe Ballgeschwindigkeiten kein Problem.</p> <p> </p> <p><strong><span style=""color: #666666;"">MADE IN JAPAN</span></strong></p> <p><strong><span style=""color: #666666;"">Kontrolle: 7,5</span></strong></p> <p><strong><span style=""color: #666666;"">Speed: 8,5</span></strong></p> <p><strong><span style=""color: #666666;"">Spin: 7,0</span></strong></p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Express _ mittellange offensive Noppe\MainImage\nittaku_express_1600x.png%3Fv=1371916813,,"{""key_value_pairs"": [[""Farbe // color"", ""rot // red""], [""Farbe // color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // thickness"", ""1.2 mm // thin""], [""Stärke // thickness"", ""1.4 mm // thick""], [""Stärke // thickness"", ""1.8 mm // thick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/express
Nittaku Factive,<p>Die neu entwickelte Oberfläche des <strong>Nittaku</strong> <strong>Factive</strong> hat eine besondere Noppenstruktur. Dank dieser Struktur und der neuen Gummimischung hat der Belag eine enorme <strong>Griffigkeit</strong>. Durch die Griffigkeit können einfach hohe <strong>Rotationen</strong> erzeugt werden Durch den <strong>mittelharten Schwamm</strong>  bleibt der <strong>Factive</strong> immer kontrolliert und spielt sich sehr <strong>linear</strong>. Der <strong>Factive</strong> ist ein Belag für Spieler die gerne <strong>kontrollierte Offensive mit viel Rotation spielen</strong>.</p>,"<div class=""rte text--pull""> <p>Die neu entwickelte Oberfläche des <strong>Nittaku</strong> <strong>Factive</strong> hat eine besondere Noppenstruktur. Dank dieser Struktur und der neuen Gummimischung hat der Belag eine enorme <strong>Griffigkeit</strong>. Durch die Griffigkeit können einfach hohe <strong>Rotationen</strong> erzeugt werden Durch den <strong>mittelharten Schwamm</strong>  bleibt der <strong>Factive</strong> immer kontrolliert und spielt sich sehr <strong>linear</strong>. Der <strong>Factive</strong> ist ein Belag für Spieler die gerne <strong>kontrollierte Offensive mit viel Rotation spielen</strong>.</p> <p><em>Optimierter Belag für Kunststoffbälle</em></p> <p><em>Spin+Speed Tension Belag</em></p> <p><span style=""color: #999999;""><em>Made in Germany</em></span></p> <p><span style=""color: #999999;""><em>Speed: 14,75</em></span></p> <p><span style=""color: #999999;""><em>Spin: 11,75</em></span></p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Factive\MainImage\Factive_1600x.jpg%3Fv=1498662232,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Factive\GalleryImages\Factive_III_1600x.jpg%3Fv=1498662234;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Factive\GalleryImages\Factive_II_1600x.jpg%3Fv=1498662233;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Factive\GalleryImages\Factive_IV_1600x.jpg%3Fv=1498662234,"{""key_value_pairs"": [[""Farbe // Color"", ""rot / red""], [""Farbe // Color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""1.4 mm // middle""], [""Stärke // Thickness"", ""1.8 mm // thick""], [""Stärke // Thickness"", ""2.0 mm // superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/factive
Nittaku Fastarc C-1,<p>Der<em><strong> Nittaku FASTARC C-1</strong></em> ist ein Belag für offensives Spiel.</p>,"<div class=""rte text--pull""> <p>Der<em><strong> Nittaku FASTARC C-1</strong></em> ist ein Belag für offensives Spiel.</p> <p>Der Fastarc C1 hat im Vergleich zum G1 einen weicheren Schwamm mit mehr Katapult und einer Härte von ca. 43°. Die Noppen der griffigen Oberfläche stehen recht dicht zusammen, was den Anschlag der Belages etwas härter macht.</p> <p>Diese Kombination verleiht dem Fastarc C-1 eine gute Geschwindigkeit. Aufgrund des etwas weicheren Schwamms ist die Flugkurve etwas tiefer und es können nicht ganz so hohe Rotationen erzeugt werden. Dafür ist die Eigendynamik des Belages höher als beim Fastarc G1</p> <p> </p> <p><strong>Made in Germany</strong></p> <p><span style=""color: #666666;""><strong>Spin: 11.8</strong></span></p> <p><span style=""color: #666666;""><strong>Speed: 12.3</strong></span></p> <p><span style=""color: #666666;""><strong>Schwammhärte: ca. 43°</strong></span></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc C-1\MainImage\fastarc_c-1_tischtennisbelag_nittaku_1600x.png%3Fv=1408536850,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc C-1\GalleryImages\nittaku_fastarc_vergleich_56bbb142-3d30-4759-bfb4-2c5394de17c7_1600x.jpg%3Fv=1450286527,"{""key_value_pairs"": [[""Farbe // color"", ""rot//red""], [""Farbe // color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // thickness"", ""1.8mm//thick""], [""Stärke // thickness"", ""2.0mm //superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/fastarc-c-1
Nittaku Fastarc G-1,<p>Der<em><strong> FASTARC G-1</strong></em> ist ein Tischtennis Belag für offensives Spiel. Durch die griffige Oberfläche und den 47° harten Schwamm lassen sich hohe Geschwindigkeiten mit extrem viel Spin erzeugen. Der Katapult ist dank des etwas härteren Schwamms nicht zu stark. Somit ist der Belag gut zu kontrollieren.</p>,"<div class=""rte text--pull""> <p>Der<em><strong> FASTARC G-1</strong></em> ist ein Tischtennis Belag für offensives Spiel. Durch die griffige Oberfläche und den 47° harten Schwamm lassen sich hohe Geschwindigkeiten mit extrem viel Spin erzeugen. Der Katapult ist dank des etwas härteren Schwamms nicht zu stark. Somit ist der Belag gut zu kontrollieren.</p> <p>Der Belag wird von Mima Ito und Masataka Marizonio gespielt!</p> <p>Der Fastarc G1 ist der meistverkaufte Belag in Japan.</p> <p><a href=""https://world-tt.com/ps_goods/goods_ranking.php"" title=""Meistverkaufte Tischtennis Beläge"">Rangliste Tischtennis Material</a></p> <p><span class=""Apple-style-span""> </span></p> <p><span style=""color: #666666;""><strong>Made in Germany</strong></span></p> <p><span style=""color: #666666;""><strong>Spin: 11.8</strong></span></p> <p><span style=""color: #666666;""><strong>Speed: 12.3</strong></span></p> <p><span style=""color: #666666;""><strong>Schwammhärte: 47°</strong></span></p> <p><br/></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc G-1\MainImage\nittaku_fastarc_g-1_1600x.png%3Fv=1609778806,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc G-1\GalleryImages\nittaku_fastarc_vergleich_681aca8b-220a-4c39-beb0-8f642377e3dc_1600x.jpg%3Fv=1609778868;H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc G-1\GalleryImages\fastarc-g1-nittaku-deutschland-belag-material-mima-ito_1600x.jpg%3Fv=1736419596,"{""key_value_pairs"": [[""Farbe // color"", ""schwarz//black""], [""Farbe // color"", ""rot//red""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // thickness"", ""1.8 mm//thick""], [""Stärke // thickness"", ""2,0 mm//superthick""], [""Stärke // thickness"", ""MAX""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/fastarc-g-1
Fastarc P-1,<p>Der neue <strong><em>Fastarc P-1</em></strong> ist die nächste Antwort von Nittaku auf den Kunststoffball.</p>,"<div class=""rte text--pull""> <p>Der neue <strong><em>Fastarc P-1</em></strong> ist die nächste Antwort von Nittaku auf den Kunststoffball.</p> <p>Die Kombination von den neuen katapultigen <strong>Strong Sponge</strong> Schwämmen mit einer griffigen, etwas weicheren Oberfläche bildet eine Einheit, die extrem viel Power speichert und in Topspins mit unschlagbarer Rotation und Geschwindigkeit umwandelt.</p> <p>Da die Noppen der Oberfläche etwas weiter auseinander stehen, kann der Ball sich etwas tiefer in die Oberfläche eingraben. Dadurch spürt man den Balltreffpunkt sehr genau. Der Strong Sponge mit 47° Härte hat einen guten Katapult und wird kaum komprimiert. Dadurch erreicht dieser Belag eine gute Genauigkeit. </p> <p>Dieser Belag ist für gnadenloses Offensivspiel nah am Tisch und aus der Halbdistanz konzipiert worden.</p> <p><span style=""color: #666666;""><strong>Made in Germany</strong></span></p> <p><strong>Spin: 15.5 </strong></p> <p><strong>Speed: 12.25</strong></p> <p><strong>Härte: ca 47.°</strong></p> <p> </p> <p><iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/_Yh7ZN4GgQU"" width=""560""></iframe></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Fastarc P-1\MainImage\fastarc_p-1_nittaku_tischtennisbelag_deutschland_1600x.png%3Fv=1437421820,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Fastarc P-1\GalleryImages\fastarc_p-1_schwamm_poren_nittaku_1600x.png%3Fv=1437425009,"{""key_value_pairs"": [[""Farbe // Color"", ""rot // red""], [""Farbe // Color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""2.0 mm // superthick""], [""Stärke // Thickness"", ""1.8 mm // thick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/fastarc-p1
Nittaku Fastarc S-1,<p>Der <strong>Nittaku Fastarc S1</strong> ist der weichste und zusammen mit dem Fastarc P1 der <strong>schnellste</strong> Belag der Serie.</p>,"<div class=""rte text--pull""> <p>Der <strong>Nittaku Fastarc S1</strong> ist der weichste und zusammen mit dem Fastarc P1 der <strong>schnellste</strong> Belag der Serie.</p> <p>Der etwas weichere Schwamm mit 44° und das griffige Obergummi mit weiter auseinander stehenden Noppen hat einen <strong>starken Katapult</strong>. Die weichere Kombination aus der Oberfläche und dem Schwamm ergeben eine flache Flugkurve. Die <strong>Eigendynamik</strong> des Belages ist hoch. Da der Belag stark komprimiert werden kann, ist dieser Belag bei schnellen Ballwechseln etwas schwerer zu kontrollieren. Allerdings ist das Gefühl und die Kontrolle bei weich gezogenen <strong>Topspin</strong> sehr gut. </p> <p><span><strong>Made in Germany</strong></span></p> <p><strong>Spin: 11.75</strong></p> <p><strong>Speed: 15.50</strong></p> <p><strong>Härte: ca 44°</strong></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc S-1\MainImage\nittaku_fastarc_s-1_1600x.png%3Fv=1450285855,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Fastarc S-1\GalleryImages\nittaku_fastarc_vergleich_1600x.jpg%3Fv=1450286471,"{""key_value_pairs"": [[""Farbe // Color"", ""rot // red""], [""Farbe // Color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""1.8mm // thick""], [""Stärke // Thickness"", ""2.0mm // superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/fastarc-s-1
Flyatt Hard,<p>Der Offensiv - Belag Flyatt Hard ist der schnellste aus der Flyatt Serie und hat die flachste Flugkurve.</p>,"<div class=""rte text--pull""> <p>Der Offensiv - Belag Flyatt Hard ist der schnellste aus der Flyatt Serie und hat die flachste Flugkurve.</p> <p>Die Schwammhärte ist die gleiche wie beim Flyatt Spin. Aber durch den hohen Naturkautschuk Anteil im Schwamm ist der Flyatt Hard etwas schneller als der Flyatt Spin, hat dafür aber nicht so hohe Reserven in der Spinerzeugung. Die Flyatt Serie zeichnet sich durch Ihre hohen Kontrollwerte aus.</p> <p>Made in Japan</p> <p>Spin: 11,5</p> <p>Geschwindigkeit: 15,00</p> <p>Schwammhärte: 35°</p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Flyatt Hard\MainImage\Flyatt_hard_1600x.jpg%3Fv=1503568149,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Flyatt Hard\GalleryImages\Flyatt_hard_seite_1600x.jpg%3Fv=1503568149,"{""key_value_pairs"": [[""Farbe//Colour"", ""rot // red""], [""Farbe//Colour"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""1.8 mm // thick""], [""Stärke // Thickness"", ""2.0 mm // superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/flyatt-hard
Flyatt Soft,<p>Der Offensiv - Belag Flyatt Soft ist der weicheste und am besten zu kontrollierende Belag aus der Flyatt Serie.</p>,"<div class=""rte text--pull""> <p>Der Offensiv - Belag Flyatt Soft ist der weicheste und am besten zu kontrollierende Belag aus der Flyatt Serie.</p> <p>Durch die etwas weichere Schwammmischung hat der Flyatt Soft die höchste Flugkurve. Dank der langen Ballkontaktzeit ist die Kontrolle sehr hoch und der Belag lässt sich sehr präzise spielen.</p> <p>Made in Japan</p> <p>Spin: 10,5</p> <p>Geschwindigkeit: 13,00</p> <p>Schwammhärte: 30°</p> <p> </p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Flyatt Soft\MainImage\Flyatt_soft_1600x.jpg%3Fv=1503569356,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Flyatt Soft\GalleryImages\Flyatt_soft_seite_1600x.jpg%3Fv=1503569357,"{""key_value_pairs"": [[""Farbe // Colour"", ""schwarz // black""], [""Farbe // Colour"", ""rot // red""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""1.8 mm // thick""], [""Stärke // Thickness"", ""2.0 mm // superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/flyatt-soft
Flyatt Spin,"<p><em><strong>Flyatt Spin</strong> </em>ist der neuste Belag aus der Flyatt Serie. Die griffige Oberfläche hat kürzere Noppen, dadurch spielt sie sich etwas härter. Der grob poorige, sehr dynamische Schwamm sorgt für gute Geschwindigkeit und unterstütz den Spin.</p>","<div class=""rte text--pull""> <p><em><strong>Flyatt Spin</strong> </em>ist der neuste Belag aus der Flyatt Serie. Die griffige Oberfläche hat kürzere Noppen, dadurch spielt sie sich etwas härter. Der grob poorige, sehr dynamische Schwamm sorgt für gute Geschwindigkeit und unterstütz den Spin.</p> <p><a href=""https://nittaku.tt/collections/angebote/products/flyatt-combi-angebot"" title=""Angebote beachten hier klicken"">Angebote beachten hier klicken</a></p> <p><em><strong>Made in Japan</strong></em></p> <p><strong><em>Spin: 12,25</em></strong></p> <p><strong><em>Geschwindigkeit: 14,25</em></strong></p> <p><strong><em>Schwammhärte: ca. 35°</em></strong></p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Flyatt Spin\MainImage\Flyatt_Spin_1600x.jpg%3Fv=1485348866,H:\Desaka\Nittaku\Full_10.01.2025\Photos\Flyatt Spin\GalleryImages\Flyatt_Spin_Seitenansicht_1600x.jpg%3Fv=1485348867,"{""key_value_pairs"": [[""Farbe // Colour"", ""schwarz // black""], [""Farbe // Colour"", ""rot // red""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""1.8mm // thick""], [""Stärke // Thickness"", ""2.0mm // superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/flyatt-spin
Nittaku Hammond Power,"<p>Der Nittaku Hammond Power ist die neueste Generation aus der Hammond Reihe. Mit verbesserter Griffigkeit und bewährter Geschwindigkeit überzeugt dieser extra für die neuen Plastikbälle entwickelte Belag, vor allem bei Spin und Speed. Hinzukommt ein sehr hoher Anteil an Naturkautschuk im Schwamm.</p>","<div class=""rte text--pull""> <p>Der Nittaku Hammond Power ist die neueste Generation aus der Hammond Reihe. Mit verbesserter Griffigkeit und bewährter Geschwindigkeit überzeugt dieser extra für die neuen Plastikbälle entwickelte Belag, vor allem bei Spin und Speed. Hinzukommt ein sehr hoher Anteil an Naturkautschuk im Schwamm.</p> <p>Der Hammond Power wird von vielen Top Athleten gespielt.  </p> <p>Made in Japan</p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Nittaku Hammond Power\MainImage\nittaku-hammond-power-tischtennis-belag-kaufen-neu-japanisch_1600x.png%3Fv=1508771834,,"{""key_value_pairs"": [[""Farbe // Color"", ""rot // red""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // thickness"", ""2.0 mm // super thick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/hammond-power
Hammond Pro Alpha,"<p>Der <em><strong>Hammond Pro Alpha</strong></em> eignet sich besonders gut für aggressives Offensivspiel. Der Schwamm ist verhältnismäßig hart, die Oberfläche sehr griffig.</p>","<div class=""rte text--pull""> <p>Der <em><strong>Hammond Pro Alpha</strong></em> eignet sich besonders gut für aggressives Offensivspiel. Der Schwamm ist verhältnismäßig hart, die Oberfläche sehr griffig.</p> <p> </p> <p>Bei der Herstellung des Belags verwendet <em>NITTAKU</em> eine neue Technologie, die sich 'Integrierte Energie' (IE) nennt.</p> <p><span style=""line-height: 1.2;"">Bei der Herstellung wurde ein Naturschwamm mit einem Synthetikschwamm kombiniert. <br/>Dieses Herstellungsverfahren kombiniert die Vorteile beider Materialien:</span></p> <p><span style=""line-height: 1.2;"">Der Naturschwammanteil verleiht dem Belag die hohe Griffigkeit, während der synthetische Schwammanteil dem Belag Katapult verleiht.</span></p> <p>Der harte Schwamm, der zusammen mit Topspielern entwickelt wurde, garantiert ein aggressives Offensivspiel.</p> <p> </p> <p><span style=""color: #666666;""><strong>MADE IN JAPAN</strong></span></p> <p><span style=""color: #666666;""><strong>Speed: 11,5</strong></span></p> <p><span style=""color: #666666;""><strong>Spin: 10,5</strong></span></p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Hammond Pro Alpha\MainImage\nittaku_hammond_pro_alpha_1600x.png%3Fv=1399743320,,"{""key_value_pairs"": [[""Farbe // Color"", ""schwarz // black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""2.0 // superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/hammond-pro-alpha
Hammond,<p>Der Nittaku Hammond ist ein offensiver Tischtennis-Belag mit eingebautem Frischklebeeffekt.</p>,"<div class=""rte text--pull""> <p>Der Nittaku Hammond ist ein offensiver Tischtennis-Belag mit eingebautem Frischklebeeffekt.</p> <p>Auch bei dem Nittaku Hammond wurde die sehr erfolgreiche Formel aus einer Mischung von natürlichem Gummi und synthetischem Gummi angewandt. Es wurde ein eher weicher Schwamm mit ca. 40° unter eine harte Obergummimischung verklebt. Dadurch ist der Belag trotz seiner guten Geschwindigkeit noch leicht zu kontrollieren.</p> <p><strong>Made in Japan</strong></p> <p><strong>Spin: 10</strong></p> <p><strong>Speed: 12,5</strong></p> <p><strong>Schwammhärte ca. 40°</strong></p> <p> </p> <p> </p> <p> </p> </div>",H:\Desaka\Nittaku\Full_10.01.2025\Photos\Hammond\MainImage\Hammond_e3f3bdd4-67c0-4d52-aecf-03eb1094f2db_1600x.jpg%3Fv=1663767118,,"{""key_value_pairs"": [[""Farbe // Color"", ""rot//red""], [""Farbe // Color"", ""schwarz//black""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"};{""key_value_pairs"": [[""Stärke // Thickness"", ""1,8 mm//thick""], [""Stärke // Thickness"", ""2,0 mm//superthick""]], ""current_price"": """", ""basic_price"": """", ""stock_status"": """"}",https://nittaku.tt/collections/tischtennis-belaege-material/products/hammond
